men,women
66,47
62,55
53,48
59,42
54,50
61,57
63,47
64,49
56,55
65,52
55,50
59,46
58,52
58,52
62,45
55,42
61,44
59,51
59,47
64,46
63,50
69,45
65,47
61,49
60,52
54,55
58,50
59,50
62,45
56,52
52,44
62,48
59,46
58,50
57,48
50,43
73,46
60,46
55,47
55,48
65,50
59,52
60,52
68,54
65,52
59,43
68,45
57,49
55,43
56,45
58,50
68,50
62,58
55,46
63,54
55,45
54,48
62,55
52,42
62,58
59,50
61,55
65,53
65,49
62,53
57,44
61,56
55,57
56,51
68,48
65,52
61,48
65,59
59,52
59,41
60,58
61,53
48,50
59,51
62,48
62,49
61,60
49,46
57,48
55,53
64,57
55,45
60,54
59,52
60,50
64,50
65,51
60,47
65,53
70,51
66,46
59,49
51,44
63,42
64,43
